,ID,Name,Nationality,Club,Pace,DribblingA,Shooting,Defending,Passing,Physicality
0,190871,Neymar Jr,Brazil,Paris Saint-Germain,92.0,93.16666666666669,83.83333333333333,36.4,83.83333333333333,61.75
1,155862,Sergio Ramos,Spain,Real Madrid,75.5,76.33333333333333,66.5,90.2,71.66666666666667,87.0
2,182493,D. God?n,Uruguay,Atl?tico Madrid,68.0,68.0,49.5,89.6,59.33333333333334,83.5
3,138956,G. Chiellini,Italy,Juventus,69.0,65.0,47.16666666666666,89.4,52.83333333333334,83.75
4,198219,L. Insigne,Italy,Napoli,90.0,89.33333333333331,75.66666666666667,35.8,83.33333333333333,51.5
5,197781,Isco,Spain,Real Madrid,72.0,88.16666666666669,75.66666666666667,58.8,83.33333333333333,62.75
6,189242,Coutinho,Brazil,FC Barcelona,82.0,89.33333333333331,80.66666666666667,50.6,86.16666666666669,64.5
7,178603,M. Hummels,Germany,FC Bayern M?nchen,58.5,75.0,60.16666666666666,89.0,71.16666666666667,71.75
8,176676,Marcelo,Brazil,Real Madrid,82.5,88.0,70.16666666666667,80.4,80.66666666666667,82.25
9,164240,Thiago Silva,Brazil,Paris Saint-Germain,71.0,73.5,59.83333333333334,86.4,69.5,80.5
10,205600,S. Umtiti,France,FC Barcelona,72.0,74.0,66.16666666666667,86.2,69.16666666666667,83.0
11,201024,K. Koulibaly,Senegal,Napoli,71.5,62.33333333333334,26.66666666666667,86.8,41.833333333333336,83.25
12,189332,Jordi Alba,Spain,FC Barcelona,93.0,83.5,66.83333333333333,79.0,76.33333333333333,77.0
13,172871,J. Vertonghen,Belgium,Tottenham Hotspur,63.0,72.5,63.33333333333334,86.8,70.0,80.75
14,152729,Piqu?,Spain,FC Barcelona,54.5,66.83333333333333,60.16666666666666,86.4,63.5,73.5
15,222492,L. San?,Germany,Manchester City,94.5,83.5,80.83333333333333,41.8,76.33333333333333,68.5
16,218667,Bernardo Silva,Portugal,Manchester City,79.0,88.0,72.83333333333333,45.6,80.83333333333333,58.5
17,203376,V. van Dijk,Netherlands,Liverpool,75.5,70.16666666666667,57.5,85.8,66.0,82.25
18,202652,R. Sterling,England,Manchester City,93.5,87.5,74.33333333333333,45.4,73.33333333333333,56.25
19,201535,R. Varane,France,Real Madrid,84.0,67.0,45.66666666666666,85.4,57.16666666666666,78.25
20,191043,Alex Sandro,Brazil,Juventus,84.5,80.66666666666667,67.5,81.4,73.83333333333333,83.0
21,184432,Azpilicueta,Spain,Chelsea,76.0,76.16666666666667,58.83333333333334,85.8,73.66666666666667,79.0
22,184344,L. Bonucci,Italy,Juventus,61.0,71.0,58.83333333333334,86.4,66.16666666666667,80.25
23,184087,T. Alderweireld,Belgium,Tottenham Hotspur,63.5,68.83333333333333,57.0,87.2,71.16666666666667,79.25
24,177509,M. Benatia,Morocco,Juventus,70.0,67.33333333333333,43.33333333333334,86.0,47.16666666666666,82.75
25,232363,M. ?kriniar,Slovakia,Inter,71.5,63.83333333333334,41.333333333333336,85.6,49.83333333333334,81.0
26,220834,Marco Asensio,Spain,Real Madrid,83.5,81.83333333333333,79.83333333333333,43.2,81.66666666666667,60.0
27,204485,R. Mahrez,Algeria,Manchester City,85.5,87.5,77.5,36.2,80.33333333333333,59.75
28,197445,D. Alaba,Austria,FC Bayern M?nchen,82.5,80.16666666666667,75.33333333333333,80.2,80.33333333333333,77.25
29,192774,K. Manolas,Greece,Roma,82.5,68.33333333333333,21.5,85.6,35.0,82.5
30,192366,N. Otamendi,Argentina,Manchester City,59.0,67.66666666666667,55.33333333333334,84.2,56.83333333333334,82.5
31,184941,A. S?nchez,Chile,Manchester United,82.5,86.16666666666669,81.5,47.2,78.0,80.25
32,183907,J. Boateng,Germany,FC Bayern M?nchen,69.5,68.0,52.5,84.8,64.33333333333333,78.75
33,171919,Naldo,Brazil,FC Schalke 04,62.5,63.16666666666666,67.33333333333333,87.2,63.0,65.25
34,168609,Miranda,Brazil,Inter,67.5,70.0,49.5,86.0,52.66666666666666,77.25
35,164169,Filipe Lu?s,Brazil,Atl?tico Madrid,75.5,78.33333333333333,63.66666666666666,80.8,77.0,78.75
36,139720,V. Kompany,Belgium,Manchester City,55.5,66.5,54.16666666666666,84.4,62.0,78.0
37,120533,Pepe,Portugal,Be?ikta? JK,67.5,65.66666666666667,47.5,83.6,52.66666666666666,79.0
38,220793,D. S?nchez,Colombia,Tottenham Hotspur,75.5,67.66666666666667,42.66666666666666,83.8,47.66666666666666,79.75
39,216460,J. Gim?nez,Uruguay,Atl?tico Madrid,69.5,58.5,41.5,85.4,46.66666666666666,83.25
40,212462,Alex Telles,Brazil,FC Porto,84.5,78.33333333333333,71.83333333333333,78.8,83.0,79.75
41,212218,A. Laporte,France,Manchester City,64.0,65.33333333333333,49.66666666666666,85.6,66.5,74.75
42,212190,N. S?le,Germany,FC Bayern M?nchen,68.0,53.66666666666666,41.333333333333336,83.6,43.16666666666666,69.75
43,211300,A. Martial,France,Manchester United,88.5,83.16666666666667,81.0,44.8,70.66666666666667,70.5
44,204963,Carvajal,Spain,Real Madrid,81.5,79.66666666666667,46.83333333333334,80.8,68.5,78.75
45,198176,S. de Vrij,Netherlands,Inter,68.0,69.33333333333333,41.66666666666666,85.0,51.83333333333334,75.0
46,188377,K. Walker,England,Manchester City,89.5,75.66666666666667,65.5,80.0,73.66666666666667,81.25
47,180403,Willian,Brazil,Chelsea,88.5,83.5,74.33333333333333,47.4,80.16666666666667,57.5
48,172879,Sokratis,Greece,Arsenal,68.5,67.16666666666667,48.0,83.8,44.5,82.25
49,157481,Ra?l Albiol,Spain,Napoli,53.5,66.0,40.5,84.8,56.5,73.75
50,137186,A. Barzagli,Italy,Juventus,69.0,68.83333333333333,39.5,85.6,52.16666666666666,70.75
51,231443,O. Demb?l?,France,FC Barcelona,92.5,84.16666666666667,76.83333333333333,36.8,75.33333333333333,58.0
52,230481,Ronaldo Cabrais,Brazil,Gr?mio,87.5,82.33333333333333,78.16666666666667,39.2,82.5,70.5
53,230375,Josu? Chiamulera,Brazil,Gr?mio,80.5,71.16666666666667,45.0,84.2,51.83333333333334,76.5
54,225850,P. Kimpembe,France,Paris Saint-Germain,76.5,72.33333333333333,41.16666666666666,81.6,59.66666666666666,81.5
55,213331,J. Tah,Germany,Bayer 04 Leverkusen,70.5,61.33333333333334,29.66666666666667,82.4,49.33333333333334,76.0
56,212188,T. Werner,Germany,RB Leipzig,93.0,80.66666666666667,77.83333333333333,38.2,63.33333333333334,70.75
57,208618,Lucas V?zquez,Spain,Real Madrid,81.5,81.33333333333333,71.0,46.4,80.66666666666667,70.0
58,207863,Felipe,Brazil,FC Porto,63.5,63.33333333333334,41.833333333333336,82.2,49.66666666666666,86.5
59,204639,S. Savi?,Montenegro,Atl?tico Madrid,58.0,63.66666666666666,33.5,84.4,46.5,76.25
60,203574,J. Stones,England,Manchester City,69.0,71.83333333333333,38.66666666666666,83.2,60.0,77.5
61,202651,Suso,Spain,Milan,80.0,83.5,75.83333333333333,32.2,82.66666666666667,51.5
62,200724,Nacho Fern?ndez,Spain,Real Madrid,74.5,68.83333333333333,39.0,81.8,59.33333333333334,79.0
63,199845,F. Acerbi,Italy,Lazio,60.0,61.83333333333334,50.5,84.8,59.66666666666666,76.25
64,199564,Sergi Roberto,Spain,FC Barcelona,78.5,76.66666666666667,61.66666666666666,78.8,77.66666666666667,67.25
65,192638,Marcos Alonso,Spain,Chelsea,72.5,74.0,73.66666666666667,80.4,80.33333333333333,78.0
66,190547,K. Glik,Poland,AS Monaco,51.0,58.66666666666666,30.66666666666667,83.4,39.16666666666666,81.0
67,185221,Luiz Gustavo,Brazil,Olympique de Marseille,64.5,71.66666666666667,61.0,81.4,65.0,82.5
