,ID,Name,Nationality,Club,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
0,193080,De Gea,Spain,Manchester United,90,85,87,88,94
1,200389,J. Oblak,Slovenia,Atl?tico Madrid,86,92,78,88,89
2,192448,M. ter Stegen,Germany,FC Barcelona,87,85,88,85,90
3,192119,T. Courtois,Belgium,Real Madrid,85,91,72,86,88
4,167495,M. Neuer,Germany,FC Bayern M?nchen,90,86,91,87,87
5,167948,H. Lloris,France,Tottenham Hotspur,88,84,68,83,92
6,162835,S. Handanovi?,Slovenia,Inter,87,86,69,89,89
7,1179,G. Buffon,Italy,Paris Saint-Germain,88,87,74,90,83
8,193041,K. Navas,Costa Rica,Real Madrid,90,81,75,82,90
9,210257,Ederson,Brazil,Manchester City,85,80,91,82,87
10,212831,Alisson,Brazil,Liverpool,83,81,85,84,88
11,186153,W. Szcz?sny,Poland,Juventus,85,81,71,85,87
12,199482,A. Lopes,Portugal,Olympique Lyonnais,86,80,75,81,88
13,198009,M. Perin,Italy,Juventus,81,85,71,79,90
14,192563,B. Leno,Germany,Arsenal,84,82,75,85,82
15,190941,L. Hr?deck?,Finland,Bayer 04 Leverkusen,85,79,68,82,88
16,178750,Sergio Asenjo,Spain,Villarreal CF,85,83,77,82,84
17,167628,S. Ruffier,France,AS Saint-?tienne,82,84,77,85,82
18,163587,K. Schmeichel,Denmark,Leicester City,82,77,82,80,88
19,206585,Kepa,Spain,Chelsea,84,80,76,80,84
20,204935,J. Pickford,England,Everton,83,78,88,81,86
21,200316,T. Horn,Germany,1. FC K?ln,83,80,83,82,86
22,194404,Neto,Brazil,Valencia CF,85,79,79,78,82
23,193698,O. Baumann,Germany,TSG 1899 Hoffenheim,82,82,70,82,85
24,192593,D. Suba?i?,Croatia,AS Monaco,82,80,79,82,84
25,179783,R. F?hrmann,Germany,FC Schalke 04,83,81,52,82,87
26,178086,Ad?n,Spain,Atl?tico Madrid,81,84,78,84,83
27,178005,Rui Patr?cio,Portugal,Wolverhampton Wanderers,85,81,80,79,82
28,177683,Y. Sommer,Switzerland,Borussia M?nchengladbach,78,84,80,80,85
29,163705,S. Mandanda,France,Olympique de Marseille,86,81,70,79,84
30,104389,R. Jarstein,Norway,Hertha BSC,79,82,76,86,84
31,24630,Pepe Reina,Spain,Milan,80,83,82,82,82
32,236583,J. Pavlenka,Czech Republic,SV Werder Bremen,85,78,68,78,85
33,230621,G. Donnarumma,Italy,Milan,88,78,72,78,88
34,230168,Raphaelito Anjos,Brazil,Gr?mio,79,84,77,83,78
35,221087,Pau L?pez,Spain,Real Betis,81,82,79,83,81
36,199987,J. Cillessen,Netherlands,FC Barcelona,80,83,75,81,80
37,192984,K. Casteels,Belgium,VfL Wolfsburg,83,77,77,81,83
38,189117,R. B?rki,Switzerland,Borussia Dortmund,86,78,73,77,86
39,168435,S. Sirigu,Italy,Torino,84,76,76,83,81
40,168354,E. Viviano,Italy,Sporting CP,83,84,76,81,83
41,163489,A. Consigli,Italy,Sassuolo,82,83,72,82,83
42,48940,P. ?ech,Czech Republic,Arsenal,78,82,70,83,79
43,5479,Casillas,Spain,FC Porto,87,74,58,82,84
44,212151,T. Strakosha,Albania,Lazio,81,77,75,78,86
45,200726,B. Lecomte,France,Montpellier HSC,81,76,79,81,82
46,193105,A. Areola,France,Paris Saint-Germain,83,78,70,77,84
47,182494,F. Muslera,Uruguay,Galatasaray SK,81,75,75,81,83
48,164835,L. Fabia?ski,Poland,West Ham United,79,83,70,80,84
49,226753,A. Onana,Cameroon,Ajax,83,79,85,75,80
50,215316,G. Rulli,Argentina,Real Sociedad,83,76,74,77,83
51,214584,F. Armani,Argentina,River Plate,79,74,69,79,84
52,209960,Pacheco,Spain,Deportivo Alav?s,79,77,68,81,81
53,204120,T. Vacl?k,Czech Republic,Sevilla FC,82,72,74,81,85
54,203841,N. Pope,England,Burnley,79,80,74,80,80
55,203042,J. Butland,England,Stoke City,82,77,71,80,84
56,190778,J. Zoet,Netherlands,PSV,79,77,77,79,83
57,189690,Guaita,Spain,Crystal Palace,82,81,79,77,82
58,188943,K. Trapp,Germany,Eintracht Frankfurt,79,74,77,82,83
59,186569,S. Ulreich,Germany,FC Bayern M?nchen,79,72,69,80,86
60,185122,P. Gul?csi,Hungary,RB Leipzig,81,80,76,76,81
61,173373,S. Romero,Argentina,Manchester United,78,76,81,77,82
62,148119,I. Akinfeev,Russia,PFC CSKA Moscow,77,72,78,82,84
63,146748,Diego L?pez,Spain,RCD Espanyol,75,81,74,81,76
64,140293,A. Mirante,Italy,Roma,82,80,64,78,82
65,110677,Moy?,Spain,Real Sociedad,84,77,81,80,79
66,49031,S. Sorrentino,Italy,Chievo Verona,81,82,66,82,79
67,230312,Gabri Prest?o,Brazil,Internacional,81,75,71,77,82
68,229909,A. Lunev,Russia,,80,73,65,77,85
69,227290,M. Dmitrovi?,Serbia,SD Eibar,74,79,78,81,79
70,225647,M. Campa?a,Uruguay,Independiente,81,75,74,80,82
71,206652,Sergio Rico,Spain,Fulham,77,78,77,79,81
72,203775,L. Karius,Germany,Be?ikta? JK,82,74,78,76,82
73,201325,C. T?t?ru?anu,Romania,FC Nantes,80,76,75,79,82
74,199005,M. Ryan,Australia,Brighton & Hove Albion,81,74,82,78,83
75,190243,M. Hitz,Switzerland,Borussia Dortmund,81,80,63,79,81
76,186148,R. Zieler,Germany,VfB Stuttgart,75,76,70,79,81
77,183497,O. Karnezis,Greece,Napoli,80,78,72,77,81
78,177723,Fabricio,Spain,Fulham,76,80,77,77,79
79,177644,Kiko Casilla,Spain,Real Madrid,74,81,79,81,77
80,176550,D. Ospina,Colombia,Napoli,83,70,78,77,85
81,173426,S. Mignolet,Belgium,Liverpool,80,74,64,76,82
82,172723,A. Begovi?,Bosnia Herzegovina,Bournemouth,80,80,72,77,79
83,163264,T. Heaton,England,Burnley,79,78,74,80,80
84,150724,J. Hart,England,Burnley,80,76,70,77,81
85,121933,R. Adler,Germany,1. FSV Mainz 05,78,77,70,81,79
86,231691,A. Lafont,France,Fiorentina,79,77,71,76,80
