,ID,Name,Nationality,Club,Pace,DribblingA,Shooting,Defending,Passing,Physicality
0,192985,K. De Bruyne,Belgium,Manchester City,77.0,85.33333333333333,85.33333333333333,58.6,89.66666666666669,76.0
1,177003,L. Modri?,Croatia,Real Madrid,76.0,90.66666666666669,78.33333333333333,69.4,87.0,69.25
2,182521,T. Kroos,Germany,Real Madrid,63.0,81.0,81.5,71.2,88.16666666666669,59.5
3,168542,David Silva,Spain,Manchester City,67.0,91.33333333333331,78.16666666666667,49.0,85.83333333333333,62.75
4,215914,N. Kant?,France,Chelsea,80.0,85.16666666666667,64.33333333333333,82.4,68.66666666666667,84.75
5,194765,A. Griezmann,France,Atl?tico Madrid,86.5,87.5,84.83333333333333,54.6,81.0,76.0
6,189511,Sergio Busquets,Spain,FC Barcelona,51.0,77.16666666666667,60.5,82.2,75.66666666666667,78.5
7,231747,K. Mbapp?,France,Paris Saint-Germain,96.0,88.16666666666669,80.16666666666667,43.0,75.66666666666667,72.75
8,209331,M. Salah,Egypt,Liverpool,92.5,89.66666666666669,79.0,47.2,76.16666666666667,71.25
9,200145,Casemiro,Brazil,Real Madrid,62.0,73.83333333333333,68.66666666666667,85.6,71.5,87.75
10,198710,J. Rodr?guez,Colombia,FC Bayern M?nchen,70.0,84.33333333333333,85.33333333333333,50.8,87.66666666666669,64.0
11,190460,C. Eriksen,Denmark,Tottenham Hotspur,74.0,85.16666666666667,80.0,49.2,88.5,61.5
12,188567,P. Aubameyang,Gabon,Arsenal,94.0,80.0,83.5,43.0,74.83333333333333,68.5
13,195864,P. Pogba,France,Manchester United,75.0,80.5,81.83333333333333,68.6,84.83333333333333,84.5
14,171877,M. Ham??k,Slovakia,Napoli,68.5,81.16666666666667,80.16666666666667,71.2,81.16666666666667,69.5
15,168651,I. Rakiti?,Croatia,FC Barcelona,62.5,77.83333333333333,83.0,69.8,86.5,64.0
16,208722,S. Man?,Senegal,Liverpool,94.0,86.0,78.16666666666667,43.8,73.83333333333333,74.75
17,201942,Roberto Firmino,Brazil,Liverpool,77.5,84.83333333333333,80.66666666666667,60.2,77.16666666666667,79.5
18,199556,M. Verratti,Italy,Paris Saint-Germain,65.5,89.5,62.16666666666666,76.0,79.16666666666667,70.5
19,190483,Douglas Costa,Brazil,Juventus,95.0,89.16666666666669,77.0,43.0,80.33333333333333,64.25
20,189596,T. M?ller,Germany,FC Bayern M?nchen,74.0,79.66666666666667,80.16666666666667,53.8,76.5,73.25
21,189509,Thiago,Spain,FC Bayern M?nchen,73.5,87.5,77.83333333333333,65.4,82.83333333333333,66.5
22,188350,M. Reus,Germany,Borussia Dortmund,85.5,85.16666666666667,88.0,45.4,83.16666666666667,64.75
23,180206,M. Pjani?,Bosnia Herzegovina,Juventus,66.0,83.5,73.5,71.4,86.66666666666669,68.75
24,176635,M. ?zil,Germany,Arsenal,70.5,81.5,74.66666666666667,27.4,84.33333333333333,55.5
25,135507,Fernandinho,Brazil,Manchester City,67.5,79.0,72.5,80.2,75.16666666666667,79.5
26,223848,S. Milinkovi?-Savi?,Serbia,Lazio,69.0,76.66666666666667,75.33333333333333,77.6,78.66666666666667,82.75
27,216594,N. Fekir,France,Olympique Lyonnais,79.0,88.16666666666669,81.16666666666667,34.0,80.33333333333333,76.0
28,212622,J. Kimmich,Germany,FC Bayern M?nchen,73.0,83.16666666666667,65.83333333333333,77.6,79.33333333333333,75.75
29,208421,Sa?l,Spain,Atl?tico Madrid,73.5,79.66666666666667,74.66666666666667,78.6,75.16666666666667,77.75
30,193747,Koke,Spain,Atl?tico Madrid,69.5,80.5,72.66666666666667,65.4,85.5,75.25
31,189513,Parejo,Spain,Valencia CF,47.0,76.0,79.16666666666667,67.8,87.66666666666669,64.75
32,187961,Paulinho,Brazil,Guangzhou Evergrande Taobao FC,73.0,77.5,79.0,79.0,74.0,86.0
33,184267,Y. Brahimi,Algeria,FC Porto,81.0,88.66666666666669,75.33333333333333,39.2,78.5,63.0
34,181872,A. Vidal,Chile,FC Barcelona,57.5,78.66666666666667,80.83333333333333,84.2,77.0,85.0
35,181458,I. Peri?i?,Croatia,Inter,86.0,80.33333333333333,80.66666666666667,63.8,78.0,79.0
36,179846,S. Khedira,Germany,Juventus,57.0,74.16666666666667,76.33333333333333,80.2,76.16666666666667,78.75
37,178518,R. Nainggolan,Belgium,Inter,75.5,82.33333333333333,78.16666666666667,80.8,75.83333333333333,83.5
38,170890,B. Matuidi,France,Juventus,78.0,80.83333333333333,68.66666666666667,81.8,71.33333333333333,85.0
