,ID,Name,Nationality,Club,Pace,DribblingA,Shooting,Defending,Passing,Physicality
0,158023,L. Messi,Argentina,FC Barcelona,88.5,95.0,88.16666666666669,35.8,90.33333333333331,61.75
1,20801,Cristiano Ronaldo,Portugal,Juventus,90.0,88.33333333333331,91.5,40.0,80.16666666666667,81.25
2,183277,E. Hazard,Belgium,Chelsea,91.0,93.16666666666669,83.16666666666667,37.0,84.0,64.75
3,176580,L. Su?rez,Uruguay,FC Barcelona,80.5,86.5,88.16666666666669,52.6,79.5,82.25
4,188545,R. Lewandowski,Poland,FC Bayern M?nchen,77.5,84.33333333333333,88.5,43.8,75.0,81.5
5,211110,P. Dybala,Argentina,Juventus,85.0,88.33333333333331,85.33333333333333,32.6,84.5,67.0
6,202126,H. Kane,England,Tottenham Hotspur,70.0,81.0,89.0,50.0,77.16666666666667,81.75
7,179813,E. Cavani,Uruguay,Paris Saint-Germain,75.5,78.5,87.16666666666669,54.6,71.66666666666667,85.5
8,153079,S. Ag?ero,Argentina,Manchester City,84.0,89.16666666666669,87.33333333333331,32.6,75.5,73.75
9,173731,G. Bale,Wales,Real Madrid,94.5,81.66666666666667,85.83333333333333,60.8,84.66666666666667,76.75
10,167664,G. Higua?n,Argentina,Milan,73.0,80.83333333333333,85.0,35.0,68.66666666666667,71.0
11,201399,M. Icardi,Argentina,Inter,77.5,80.5,84.0,40.4,56.66666666666666,74.5
12,192505,R. Lukaku,Belgium,Manchester United,83.5,71.16666666666667,82.5,40.6,74.0,81.0
13,192387,C. Immobile,Italy,Lazio,81.5,79.0,85.33333333333333,44.0,60.66666666666666,77.5
14,175943,D. Mertens,Belgium,Napoli,89.0,89.16666666666669,80.5,35.2,79.5,59.0
15,41,Iniesta,Spain,Vissel Kobe,68.5,86.66666666666669,72.0,60.0,82.5,54.5
16,193301,A. Lacazette,France,Arsenal,82.5,84.66666666666667,82.83333333333333,43.2,70.66666666666667,74.5
17,180930,E. D?eko,Bosnia Herzegovina,Roma,65.5,69.83333333333333,81.16666666666667,47.2,67.5,68.25
18,179844,Diego Costa,Spain,Atl?tico Madrid,75.0,73.16666666666667,81.16666666666667,50.6,62.83333333333334,81.25
19,165153,K. Benzema,France,Real Madrid,76.0,78.83333333333333,81.16666666666667,35.2,76.16666666666667,73.25
20,41236,Z. Ibrahimovi?,Sweden,LA Galaxy,58.5,74.83333333333333,86.33333333333331,38.4,78.0,74.75
21,202556,M. Depay,Netherlands,Olympique Lyonnais,87.0,81.5,79.83333333333333,34.6,81.33333333333333,77.25
22,192629,Iago Aspas,Spain,RC Celta,81.5,83.66666666666667,83.33333333333333,39.0,75.66666666666667,66.5
23,181783,M. Mand?uki?,Croatia,Juventus,70.0,73.16666666666667,79.33333333333333,68.6,66.83333333333333,85.25
24,176769,Jonas,Brazil,SL Benfica,64.5,81.66666666666667,85.5,42.0,77.66666666666667,64.75
25,167397,Falcao,Colombia,AS Monaco,67.5,80.0,83.0,46.0,69.66666666666667,77.25
26,143076,A. G?mez,Argentina,Atalanta,90.0,88.16666666666669,76.0,38.4,80.16666666666667,62.25
27,230666,Gabriel Jesus,Brazil,Manchester City,86.0,87.0,78.83333333333333,40.2,69.16666666666667,75.5
28,230294,Louri Beretta,Brazil,Atl?tico Mineiro,81.0,70.33333333333333,82.33333333333333,38.4,60.0,73.0
29,208093,Gerard Moreno,Spain,Villarreal CF,78.5,75.33333333333333,79.33333333333333,49.0,63.33333333333334,68.25
30,206113,S. Gnabry,Germany,FC Bayern M?nchen,91.0,83.16666666666667,79.66666666666667,44.4,70.16666666666667,65.75
31,198329,Rodrigo,Spain,Valencia CF,89.5,80.33333333333333,79.0,47.2,72.0,72.0
